parcel_id,wkt,zone_code,zoning_excerpt
P01,"POLYGON((-76.4920 42.4440, -76.4900 42.4440, -76.4900 42.4460, -76.4920 42.4460, -76.4920 42.4440))",R-1,"Single-family residential district. No retail storefronts. Off-street parking required for dwellings with more than two units."
P02,"POLYGON((-76.4898 42.4440, -76.4878 42.4440, -76.4878 42.4460, -76.4898 42.4460, -76.4898 42.4440))",C-1,"Neighborhood commercial. Retail and personal services permitted. Residential uses prohibited above ground floor except by special permit."
P03,"POLYGON((-76.4876 42.4440, -76.4856 42.4440, -76.4856 42.4460, -76.4876 42.4460, -76.4876 42.4440))",I-1,"Light industrial. Manufacturing and warehousing allowed. No schools or daycare centers."
P04,"POLYGON((-76.4854 42.4440, -76.4834 42.4440, -76.4834 42.4460, -76.4854 42.4460, -76.4854 42.4440))",MIX,"Mixed-use overlay. Ground floor may be commercial or office; upper floors residential. Shared parking may satisfy minimums if approved."
P05,"POLYGON((-76.4920 42.4462, -76.4900 42.4462, -76.4900 42.4482, -76.4920 42.4482, -76.4920 42.4462))",R-3,"Multifamily residential. Three to six stories. Ground-floor cafe allowed only if accessory to building."
P06,"POLYGON((-76.4898 42.4462, -76.4878 42.4462, -76.4878 42.4482, -76.4898 42.4482, -76.4898 42.4462))",OS,"Open space and recreation. Public parks and trails; temporary event structures with permit. No permanent dwellings."
P07,"POLYGON((-76.4876 42.4462, -76.4856 42.4462, -76.4856 42.4482, -76.4876 42.4482, -76.4876 42.4462))",C-2,"General commercial. Restaurants, clinics, and small offices permitted. No heavy manufacturing."
P08,"POLYGON((-76.4854 42.4462, -76.4834 42.4462, -76.4834 42.4482, -76.4854 42.4482, -76.4854 42.4462))",PUD,"Planned unit development. Master plan allows cluster housing plus one neighborhood grocery not exceeding 5000 sq ft."
P09,"POLYGON((-76.4920 42.4484, -76.4900 42.4484, -76.4900 42.4504, -76.4920 42.4504, -76.4920 42.4484))",R-1,"Synthetic grid parcel; single-family residential pattern for batching demos."
P10,"POLYGON((-76.4898 42.4484, -76.4878 42.4484, -76.4878 42.4504, -76.4898 42.4504, -76.4898 42.4484))",C-1,"Synthetic grid parcel; neighborhood commercial corridor."
P11,"POLYGON((-76.4876 42.4484, -76.4856 42.4484, -76.4856 42.4504, -76.4876 42.4504, -76.4876 42.4484))",I-1,"Synthetic grid parcel; light industrial buffer."
P12,"POLYGON((-76.4854 42.4484, -76.4834 42.4484, -76.4834 42.4504, -76.4854 42.4504, -76.4854 42.4484))",MIX,"Synthetic grid parcel; mixed-use transition."
P13,"POLYGON((-76.4920 42.4506, -76.4900 42.4506, -76.4900 42.4526, -76.4920 42.4526, -76.4920 42.4506))",R-3,"Synthetic grid parcel; multifamily residential."
P14,"POLYGON((-76.4898 42.4506, -76.4878 42.4506, -76.4878 42.4526, -76.4898 42.4526, -76.4898 42.4506))",OS,"Synthetic grid parcel; open space / trail edge."
P15,"POLYGON((-76.4876 42.4506, -76.4856 42.4506, -76.4856 42.4526, -76.4876 42.4526, -76.4876 42.4506))",C-2,"Synthetic grid parcel; general commercial."
P16,"POLYGON((-76.4854 42.4506, -76.4834 42.4506, -76.4834 42.4526, -76.4854 42.4526, -76.4854 42.4506))",PUD,"Synthetic grid parcel; planned development."
P17,"POLYGON((-76.4920 42.4528, -76.4900 42.4528, -76.4900 42.4548, -76.4920 42.4548, -76.4920 42.4528))",R-1,"Synthetic grid parcel; residential north block."
P18,"POLYGON((-76.4898 42.4528, -76.4878 42.4528, -76.4878 42.4548, -76.4898 42.4548, -76.4898 42.4528))",C-1,"Synthetic grid parcel; commercial north block."
P19,"POLYGON((-76.4876 42.4528, -76.4856 42.4528, -76.4856 42.4548, -76.4876 42.4548, -76.4876 42.4528))",I-1,"Synthetic grid parcel; industrial north block."
P20,"POLYGON((-76.4854 42.4528, -76.4834 42.4528, -76.4834 42.4548, -76.4854 42.4548, -76.4854 42.4528))",MIX,"Synthetic grid parcel; mixed north block."
P21,"POLYGON((-76.4920 42.4550, -76.4900 42.4550, -76.4900 42.4570, -76.4920 42.4570, -76.4920 42.4550))",R-3,"Synthetic grid parcel; dense residential north."
P22,"POLYGON((-76.4898 42.4550, -76.4878 42.4550, -76.4878 42.4570, -76.4898 42.4570, -76.4898 42.4550))",OS,"Synthetic grid parcel; park north."
P23,"POLYGON((-76.4876 42.4550, -76.4856 42.4550, -76.4856 42.4570, -76.4876 42.4570, -76.4876 42.4550))",C-2,"Synthetic grid parcel; services north."
P24,"POLYGON((-76.4854 42.4550, -76.4834 42.4550, -76.4834 42.4570, -76.4854 42.4570, -76.4854 42.4550))",PUD,"Synthetic grid parcel; PUD north."
