poi_id,x,y,name_messy
1,-76.4850,42.4478,"CVS pharm #2847 (closed sun)"
2,-76.4842,42.4480,"ithaca community HOSP w/urgent care"
3,-76.4838,42.4472,"Joe's Pizza & Subs LLC"
4,-76.4860,42.4488,"Former gas station / vacant"
5,-76.4828,42.4465,"TCAT bus stop shelter"
6,-76.4858,42.4492,"Wells Fargo ATM kiosk"
7,-76.4818,42.4470,"Cornell Orchards farmstand (seasonal)"
8,-76.4872,42.4468,"Little Oaks Daycare Center"
9,-76.4808,42.4485,"Starbucks drive-thru"
10,-76.4830,42.4458,"Municipal parking garage P2 entrance"
11,-76.4910,42.4490,"Tompkins Public Library main branch"
12,-76.4885,42.4498,"TCAT Route 13 stop (inbound)"
13,-76.4865,42.4505,"Anytime Fitness 24hr"
14,-76.4848,42.4512,"KeyBank walk-up ATM"
15,-76.4825,42.4518,"Taco truck (weekends only)"
16,-76.4902,42.4525,"Cass Park ice rink / rec facility"
17,-76.4880,42.4532,"County office bldg — DMV satellite"
18,-76.4860,42.4538,"GreenStar co-op mini"
19,-76.4840,42.4545,"Bike share dock (broken screen)"
20,-76.4915,42.4455,"Gas station mini-mart (24h)"
21,-76.4892,42.4560,"ITHACA transit hub — all routes"
22,-76.4870,42.4565,"Gorges playground & splash pad"
23,-76.4835,42.4442,"Strip mall — dollar store + vape"
24,-76.4812,42.4520,"Urgent care express (wait time LED)"
