parcel_id,wkt,zone_code,zoning_excerpt,primary_land_use,allows_residential,allows_commercial,parking_mentioned,notes,error_flag
P01,"POLYGON((-76.4920 42.4440, -76.4900 42.4440, -76.4900 42.4460, -76.4920 42.4460, -76.4920 42.4440))",R-1,Single-family residential district. No retail storefronts. Off-street parking required for dwellings with more than two units.,residential,True,False,True,Parking required for >2 units.,False
P02,"POLYGON((-76.4898 42.4440, -76.4878 42.4440, -76.4878 42.4460, -76.4898 42.4460, -76.4898 42.4440))",C-1,Neighborhood commercial. Retail and personal services permitted. Residential uses prohibited above ground floor except by special permit.,commercial,False,True,False,Retail/services permitted; residential only with special permit.,False
P03,"POLYGON((-76.4876 42.4440, -76.4856 42.4440, -76.4856 42.4460, -76.4876 42.4460, -76.4876 42.4440))",I-1,Light industrial. Manufacturing and warehousing allowed. No schools or daycare centers.,industrial,False,False,False,"Light industrial, no schools/daycares.",False
P04,"POLYGON((-76.4854 42.4440, -76.4834 42.4440, -76.4834 42.4460, -76.4854 42.4460, -76.4854 42.4440))",MIX,Mixed-use overlay. Ground floor may be commercial or office; upper floors residential. Shared parking may satisfy minimums if approved.,mixed,True,True,True,"Mixed-use overlay: commercial ground floor, residential above.",False
P05,"POLYGON((-76.4920 42.4462, -76.4900 42.4462, -76.4900 42.4482, -76.4920 42.4482, -76.4920 42.4462))",R-3,Multifamily residential. Three to six stories. Ground-floor cafe allowed only if accessory to building.,residential,True,True,False,Multifamily residential; accessory cafe permitted.,False
P06,"POLYGON((-76.4898 42.4462, -76.4878 42.4462, -76.4878 42.4482, -76.4898 42.4482, -76.4898 42.4462))",OS,Open space and recreation. Public parks and trails; temporary event structures with permit. No permanent dwellings.,open_space,False,False,True,Open space; temporary events with permit; no permanent dwellings.,False
P07,"POLYGON((-76.4876 42.4462, -76.4856 42.4462, -76.4856 42.4482, -76.4876 42.4482, -76.4876 42.4462))",C-2,"General commercial. Restaurants, clinics, and small offices permitted. No heavy manufacturing.",commercial,False,True,False,"General commercial; restaurants, clinics, small offices permitted.",False
P08,"POLYGON((-76.4854 42.4462, -76.4834 42.4462, -76.4834 42.4482, -76.4854 42.4482, -76.4854 42.4462))",PUD,Planned unit development. Master plan allows cluster housing plus one neighborhood grocery not exceeding 5000 sq ft.,mixed,True,True,True,PUD: cluster housing plus small grocery <=5000 sq ft.,False
P09,"POLYGON((-76.4920 42.4484, -76.4900 42.4484, -76.4900 42.4504, -76.4920 42.4504, -76.4920 42.4484))",R-1,Synthetic grid parcel; single-family residential pattern for batching demos.,residential,True,False,False,Synthetic grid single-family residential pattern.,False
P10,"POLYGON((-76.4898 42.4484, -76.4878 42.4484, -76.4878 42.4504, -76.4898 42.4504, -76.4898 42.4484))",C-1,Synthetic grid parcel; neighborhood commercial corridor.,commercial,False,True,False,Synthetic grid neighborhood commercial corridor.,False
P11,"POLYGON((-76.4876 42.4484, -76.4856 42.4484, -76.4856 42.4504, -76.4876 42.4504, -76.4876 42.4484))",I-1,Synthetic grid parcel; light industrial buffer.,industrial,False,False,False,Light industrial buffer; no mention of residence or commercial,False
P12,"POLYGON((-76.4854 42.4484, -76.4834 42.4484, -76.4834 42.4504, -76.4854 42.4504, -76.4854 42.4484))",MIX,Synthetic grid parcel; mixed-use transition.,commercial,True,True,False,Mixed-use transition; no explicit parking reference,False
P13,"POLYGON((-76.4920 42.4506, -76.4900 42.4506, -76.4900 42.4526, -76.4920 42.4526, -76.4920 42.4506))",R-3,Synthetic grid parcel; multifamily residential.,residential,True,False,False,Multifamily residential; only residential use implied,False
P14,"POLYGON((-76.4898 42.4506, -76.4878 42.4506, -76.4878 42.4526, -76.4898 42.4526, -76.4898 42.4506))",OS,Synthetic grid parcel; open space / trail edge.,open_space,False,False,False,Open space/trail edge; no residential/commercial allowances noted,False
P15,"POLYGON((-76.4876 42.4506, -76.4856 42.4506, -76.4856 42.4526, -76.4876 42.4526, -76.4876 42.4506))",C-2,Synthetic grid parcel; general commercial.,commercial,False,True,False,General commercial; no mention of residential,False
P16,"POLYGON((-76.4854 42.4506, -76.4834 42.4506, -76.4834 42.4526, -76.4854 42.4526, -76.4854 42.4506))",PUD,Synthetic grid parcel; planned development.,mixed,True,True,False,Planned development; mixed-use intent implied,False
P17,"POLYGON((-76.4920 42.4528, -76.4900 42.4528, -76.4900 42.4548, -76.4920 42.4548, -76.4920 42.4528))",R-1,Synthetic grid parcel; residential north block.,residential,True,False,False,Residential north block; likely limited to residential uses,False
P18,"POLYGON((-76.4898 42.4528, -76.4878 42.4528, -76.4878 42.4548, -76.4898 42.4548, -76.4898 42.4528))",C-1,Synthetic grid parcel; commercial north block.,commercial,False,True,False,Commercial north block; no residential mention,False
P19,"POLYGON((-76.4876 42.4528, -76.4856 42.4528, -76.4856 42.4548, -76.4876 42.4548, -76.4876 42.4528))",I-1,Synthetic grid parcel; industrial north block.,industrial,False,False,False,Industrial north block; no mention of residential/commercial,False
P20,"POLYGON((-76.4854 42.4528, -76.4834 42.4528, -76.4834 42.4548, -76.4854 42.4548, -76.4854 42.4528))",MIX,Synthetic grid parcel; mixed north block.,mixed,True,True,False,Mixed north block; mixed-use inferred,False
P21,"POLYGON((-76.4920 42.4550, -76.4900 42.4550, -76.4900 42.4570, -76.4920 42.4570, -76.4920 42.4550))",R-3,Synthetic grid parcel; dense residential north.,residential,True,False,False,Dense residential indicated.,False
P22,"POLYGON((-76.4898 42.4550, -76.4878 42.4550, -76.4878 42.4570, -76.4898 42.4570, -76.4898 42.4550))",OS,Synthetic grid parcel; park north.,open_space,False,False,False,Open space; park indicated.,False
P23,"POLYGON((-76.4876 42.4550, -76.4856 42.4550, -76.4856 42.4570, -76.4876 42.4570, -76.4876 42.4550))",C-2,Synthetic grid parcel; services north.,commercial,False,True,False,Commercial services corridor.,False
P24,"POLYGON((-76.4854 42.4550, -76.4834 42.4550, -76.4834 42.4570, -76.4854 42.4570, -76.4854 42.4550))",PUD,Synthetic grid parcel; PUD north.,mixed,True,True,False,PUD; mixed-use uncertain.,False
